Date,Shares
2017-11-01,-60000.0
2017-11-03,-24000.0
2017-11-29,-9600.0
2017-11-30,-3840.0
2017-12-06,52171.1783642895
2017-12-08,25180.693608442656
2017-12-20,-47947.1231836393
2018-01-10,-19178.84927345572
2018-01-24,-7671.539709382287
2018-02-05,-3068.6158837529156
2018-02-07,51284.81777661964
2018-02-12,26463.06480030458
2018-02-22,-47876.17589965569
2018-03-02,-19150.47035986228
2018-03-06,46095.9485220593
2018-03-12,-35317.75725718049
2018-03-13,-14127.102902872197
2018-03-20,-5650.841161148879
2018-03-27,53863.190469394845
2018-03-29,28299.166292324102
2018-04-17,13614.753068586666
2018-04-23,-59726.602362642916
2018-04-25,-23890.64094505717
2018-04-27,49326.66739174364
2018-04-30,-39152.25681306905
2018-05-07,43804.9389672759
2018-05-30,-41943.86610559316
2018-06-01,41182.99289717147
2018-06-07,-41487.342180540145
2018-06-26,-16594.936872216058
2018-07-09,48293.862601771325
2018-07-25,-35614.29230994922
2018-07-27,-14245.71692397969
2018-08-16,-5698.286769591876
2018-08-28,50222.122756314224
2018-09-04,-32412.588361625283
2018-09-11,43634.25906320601
2018-09-28,21263.587797453634
2018-10-05,-51903.743461045895
2018-10-15,38750.23677582223
2018-11-08,19686.326575206956
2018-11-12,-55823.43539503587
2018-11-29,37513.80167020515
2018-12-06,-44837.65516013744
2018-12-07,40915.48330552521
2018-12-10,-42484.35204737011
2018-12-13,40888.82606555332
2018-12-17,-41527.03645828003
2018-12-27,42647.02363400271
